"Practise","Cost"
"M83015",98039.06
"M83026",98037.57
"A85014",97950.19
"N85051",97902.19
"C81067",97893.33
"H82061",97882.3
"M83064",97873.95
"M83028",97864.04
"F85035",97823.38
"K81076",97821.9199999999
"J83005",97804.19
"P81043",97704.36
"J82041",97703.9900000001
"M85036",97671.3999999999
"G83044",97669.4500000001
"E81017",97634.4500000001
"E86018",97614.14
"L83057",97540.5400000001
"B82023",97469.97
"C88034",97455
"D83074",97454.25
"J82012",97427.93
"N82115",97425.62
"C81083",97393.53
"E83025",97385.44
"P83009",97383.0199999999
"K81063",97364.6099999999
"G85109",97342.8800000001
"K81051",97330.22
"K81043",97326.8099999999
"C81034",97319.24
"N84025",97301.2000000001
"C84683",97263.0200000001
"M82030",97252.0599999999
"P87019",97247.8
"G82027",97202.37
"N83010",97198.1600000001
"E82084",97185.4100000001
"P84067",97157.7300000001
"B85610",97151.2499999999
"Y00542",97133.31
"M84046",97122.33
"E85040",97096.0300000002
"C82005",97094.3500000001
"F81056",97066.01
"G81018",97065.34
"M81041",97062.4600000001
"B84019",97058.4199999999
"C82088",97058.1399999999
"A87020",97001.16
"J82129",96992.4999999999
"N85028",96954.8200000001
"P81070",96942.6800000001
"B81016",96940.99
"M81013",96920.4800000001
"J82152",96913.77
"C82093",96906.9999999999
"C88648",96892.9300000001
"G85046",96892.37
"H83015",96891.0900000001
"B87019",96855.5299999999
"M83018",96851.81
"E84044",96764.24
"F81608",96639.5999999999
"M83070",96625.78
"B86034",96614.44
"E82042",96593.37
"G82018",96562.9900000001
"P84042",96553.34
"F81077",96549.8
"G84021",96524.3199999999
"J81043",96516.9699999999
"A83024",96508.3100000001
"C84106",96472.4399999998
"M85030",96469.0200000001
"P81624",96449.5800000001
"N81059",96442.16
"K82020",96419.3400000001
"H82099",96409.4300000001
"D81035",96408.07
"J82061",96395.65
"L81035",96358.1599999999
"N85032",96346.16
"P86013",96336.79
"E82117",96325.2099999999
"G83057",96319.86
"N81067",96286.4500000001
"J82091",96279.95
"E81035",96214.68
"N84004",96208.94
"K82015",96201.2
"H82028",96200.2700000001
"L85030",96099.1
"B82063",96020.87
"E81006",95990.5399999999
"L84058",95967.4600000001
"C88041",95963.6000000001
"P81107",95944.7699999999
"L81080",95922.0199999999
"A84018",95867.06
"P84038",95815.7100000001
"N81628",95814.8199999999
"L84020",95808.74
"M85058",95776.5299999999
"D82042",95744.58
"E84025",95740.56
"G81001",95701.35
"C84043",95670.24
"C84014",95626.59
"F85002",95625.4499999999
"E84021",95619.8900000001
"P81160",95580.65
"N82001",95492.1899999999
"A81052",95478.82
"B85016",95454.0599999999
"N85034",95441.8199999999
"L84010",95421.4199999999
"G82205",95419.0199999999
"D83015",95415.12
"H85016",95377.5399999999
"L81087",95356.32
"M81039",95331.2600000001
"C81058",95279.52
"A81053",95210.8500000001
"C82062",95200.32
"L83648",95197.97
"F84747",95126.68
"L84001",95116.58
"C84094",95094.4499999999
"M92013",95086.18
"H81058",95076.63
"J81066",95069.19
"M83025",95040.54
"K81036",94999.69
"B85036",94960.71
"J82119",94936.4600000001
"L84028",94925.35
"A88022",94903.31
"E85016",94893.3800000001
"M87006",94884.6300000001
"E81010",94867.2099999999
"G82022",94866.4900000001
"B86009",94826.99
"M81073",94823.3800000001
"L81072",94758.1200000001
"M83092",94687.4299999999
"B83042",94686.4099999999
"F84121",94626.9999999999
"G83061",94626.26
"B86054",94618.51
"N81046",94615.1599999999
"P84027",94553.15
"M84014",94553.1000000001
"J82040",94540.86
"F86057",94510.06
"N85015",94509.9599999999
"C81056",94487.2500000001
"N82094",94409.0500000001
"P81150",94354.96
"B83064",94336.75
"A85001",94328.75
"B81072",94325.72
"G85138",94304.4299999999
"J81054",94284.4300000001
"C81074",94254.3500000001
"J82114",94241.9
"F84081",94213.0700000001
"P81088",94181.46
"M82027",94131.9699999999
"L81029",94088.2399999999
"A84044",94069.79
"F81062",94031.1599999999
"M83108",94013.6100000001
"P81149",93974.13
"C84045",93963.96
"A86037",93957.7100000001
"C82642",93944.1599999999
"A81039",93936.99
"G85013",93920.45
"J83033",93908.7700000001
"G81042",93876.6900000001
"P83015",93848.1399999999
"E84069",93821.0300000001
"F84096",93802.17
"L82040",93797.95
"K82036",93772.79
"G83021",93739.7100000001
"C88047",93700.64
"G82142",93698.86
"B82049",93698.72
"A83035",93696.2299999999
"A81005",93692.5399999999
"M92019",93677.5399999999
"H81087",93619.7299999999
"N81025",93616.76
"G82029",93552.81
"K84009",93541.5699999999
"K81050",93540.8100000001
"C88018",93508.66
"P86016",93489.28
"K84001",93473.02
"L83027",93468.52
"M81012",93463.0799999999
"C88015",93443.4899999999
"F81164",93437.08
"P82006",93396.0499999999
"H81029",93376.4399999999
"P81084",93347.12
"H82037",93342.19
"P81119",93334.47
"C81063",93324.59
"L81045",93323.8700000001
"E82080",93306.3600000002
"D82024",93289.44
"N81125",93265.4699999999
"L83061",93253.9399999999
"L83042",93242.65
"F86009",93233.3799999999
"J81011",93214.16
"G85633",93214.0700000001
"K82008",93204.85
"M87017",93163.9199999999
"F82014",93147.76
"F84003",93144.1
"E87011",93140.43
"A89016",93123.75
"F81042",93115.2500000001
"H81020",93106.8
"B81049",93082.33
"C88008",93054.68
"F81013",93050.4499999999
"K84054",93040.35
"K83003",93005.8599999999
"C86005",92996.12
"M83005",92985.3499999999
"P84041",92963.7800000001
"P91017",92962.3300000001
"J81620",92939.9500000001
"B86069",92918.01
"J82060",92914.5399999999
"P88008",92844.3300000001
"L81078",92843.37
"C83001",92800.9000000001
"G82141",92788.23
"G81021",92781.1800000001
"A82019",92760.88
"C81110",92751.8
"A82055",92751.7300000001
"F81074",92683.53
"A82053",92679.5500000001
"A85003",92641.74
"B86017",92640.68
"B84021",92629.09
"A89005",92618.92
"C81002",92616.67
"L85024",92601.63
"N81005",92600.5999999999
"B85051",92518.3900000001
"J83064",92507.92
"J82006",92487.12
"G82112",92437.67
"P83023",92371.2600000001
"F84087",92360.18
"K82034",92338.9300000001
"G83029",92338.7
"K84055",92322.89
"A84031",92278.2699999999
"B82010",92254.21
"D81002",92240.54
"A82048",92230.0099999999
"C81062",92190.8000000001
"M82032",92190.79
"D82053",92186.78
"E82063",92182.3
"A84013",92181.11
"C88007",92176.76
"K84030",92168.4199999999
"P81710",92150.6700000001
"H85649",92115.33
"A83057",92102.8200000001
"K81040",92100.47
"G82089",92097.28
"F81157",92035.1900000001
"P81095",92025.89
"B84012",92003.8699999999
"J82015",91959.3
"E82106",91936.74
"H84635",91906.2
"G85651",91892.61
"H84020",91859.54
"J82187",91841.45
"F81044",91799.0000000001
"D82621",91782.07
"C81086",91772.51
"B84007",91719.2300000001
"A81042",91696.7
"P82009",91660.42
"F86001",91641.79
"F81192",91639.4399999999
"A88008",91604.97
"P89018",91585.48
"P87620",91576.47
"A81023",91575.38
"H81019",91565.73
"D83084",91514.1199999999
"P89010",91484.65
"K82032",91483.87
"E85007",91482.6699999999
"M85172",91466.2799999999
"A82034",91444.9
"M85005",91409.9499999999
"E82056",91409.44
"H85076",91402.12
"K81074",91399.57
"B86043",91398.3
"M82025",91395.02
"G82056",91239.1900000001
"P87610",91234.2099999999
"P88004",91199.4000000001
"A82045",91192.7
"L85041",91178.4999999999
"F84033",91148.6700000001
"C82067",91145.3400000001
"C87009",91137.69
"P84039",91102.49
"B81027",91080.85
"C86034",91047.16
"D81018",91040.03
"M89005",91021.77
"C88096",91007.7600000001
"M88032",90977.9699999999
"M83014",90968.43
"G82058",90930.1699999999
"B86018",90898.66
"F81119",90882.6299999999
"C82002",90878.3600000001
"C87018",90869.0999999999
"K81039",90845.5400000002
"M87001",90748.4200000001
"M81015",90743.18
"H81130",90721.5700000001
"H82039",90713.59
"K84082",90711.19
"K84050",90687.16
"G81054",90662.2
"G82727",90641.0799999999
"C81114",90536.65
"L84051",90515.59
"G82092",90468.8099999999
"P81190",90438.57
"P83025",90306.44
"N82662",90297.98
"G81074",90296.0899999999
"A86026",90283.3200000001
"G85034",90262.64
"F85053",90255.7500000001
"G82686",90231.9
"C81065",90193.63
"N81118",90179.8599999999
"H81041",90176.8900000001
"L81037",90170.48
"M84026",90136.0300000001
"H81040",90122.43
"H85066",90114.13
"P82012",90105.0100000001
"H84042",90100.74
"E82102",90092.3000000001
"K82029",90086.86
"C84077",90084.7
"M82019",90035.3
"J82016",90032.5300000001
"L83015",90030.4900000001
"N82083",90020.7300000001
"G82117",90020.6799999999
"G82025",89996.28
"D82043",89950.5
"B83044",89949.36
"N84011",89927.6599999999
"L85027",89909.78
"P87634",89867.1100000001
"L85043",89855.44
"L83079",89805.4500000001
"L84053",89767.5600000001
"P88017",89731.01
"G85685",89722.8000000001
"A89030",89717.1900000001
"J81012",89668.01
"J82128",89647.11
"H85047",89641.2999999999
"C81100",89634.13
"M83031",89617.7100000002
"C84013",89557.0900000001
"N81055",89484.5700000001
"H82098",89479.01
"C85026",89456.96
"M86021",89435.3300000001
"D81054",89382.55
"A86012",89363.22
"D81064",89282.3200000001
"L83030",89272.4200000001
"P92034",89271.82
"E84014",89234.15
"K84031",89186.1100000001
"P84053",89184.77
"G81037",89172.8399999999
"C88009",89165.8000000001
"L84056",89152.7399999999
"F83021",89141.9499999999
"A86010",89107.05
"A82013",89105.46
"C83637",89097.55
"E87008",89050.21
"L83624",89018.62
"P82010",89009.66
"P81008",88993.1
"M85124",88986.65
"N82014",88963.0199999999
"B87001",88953.7200000001
"M82041",88952.74
"K84024",88922.6400000001
"N82046",88919.53
"K81041",88915.75
"B81087",88891.91
"H82015",88876.93
"B85020",88863.97
"M88619",88838.9800000001
"G85094",88828.31
"L85006",88802.7
"A86005",88788.2699999999
"B81070",88748.7100000001
"E82023",88741.4
"M83126",88741.1899999999
"E81020",88730.07
"J81022",88569.3299999999
"H85116",88551.6200000002
"K83077",88551.56
"P85006",88542.31
"C83078",88534.36
"P81167",88514.32
"G82232",88507.21
"E86029",88483.7799999999
"N82062",88444.5700000001
"L83058",88399.29
"P84009",88368.64
"Y03222",88328.5399999999
"M82018",88307.09
"B81047",88300.05
"P81096",88299.56
"B84016",88259.9799999999
"M87012",88213.6299999999
"L83019",88172.62
"L81086",88171.66
"L83041",88152.2999999999
"C82001",88135.2
"L82054",88120.37
"F81121",88062.8299999999
"P83007",88033
"G84002",88019.86
"M81094",87989.92
"L84021",87940.93
"K82631",87932.68
"D81051",87922.88
"L82049",87920.31
"P87026",87917.1200000001
"N84001",87900.05
"M84067",87899.1
"G81057",87893.78
"B81041",87862.5
"J81036",87850.59
"P89017",87818.01
"K81042",87803.5100000001
"E82038",87751.41
"C81044",87739.91
"B87004",87714.63
"G82634",87688.74
"P81065",87641.16
"D82078",87616.91
"N85041",87597.45
"J82171",87584.12
"C81049",87577.3000000001
"C81053",87550.3100000001
"N83033",87540.0800000001
"G82730",87535
"B82002",87529.4200000001
"P81137",87529.22
"P89004",87509.09
"K83027",87366.6099999999
"L84027",87360.95
"K82007",87359.92
"F86023",87331.6199999999
"C82035",87307.8700000001
"B86049",87301.57
"G85696",87282.29
"P84047",87234.17
"G82228",87202.03
"A82057",87179.6099999999
"M86029",87170.49
"L83646",87164.15
"N81109",87124.78
"L83029",87088.6700000001
"G82098",87084.64
"P81071",87056.3100000001
"M81010",87045.25
"P81118",86964.78
"J82125",86956.0799999999
"C88085",86927.09
"A81047",86882.45
"N81033",86873.9599999999
"F81025",86842.56
"E83035",86841.1099999999
"P81184",86771.1700000001
"L81083",86736.2
"J83034",86702.97
"J81068",86683.39
"P83019",86681.6699999999
"K81610",86658.58
"K81028",86640.6500000001
"L81090",86639.63
"C87013",86621.85
"J82027",86593.46
"C81030",86577.47
"D81625",86530.32
"L81088",86516.1999999999
"K81012",86470.4999999999
"D81059",86468.27
"A84034",86450.4
"F86038",86446.0500000001
"B83035",86438.0899999999
"B81048",86433.93
"H82040",86391.41
"M86006",86389.2699999999
"H81065",86363.3099999999
"P87017",86354.78
"H82053",86317.6199999999
"B83602",86306.63
"J82076",86293.51
"H83016",86250.86
"N81061",86238.8399999999
"N84029",86227.77
"B86046",86219.6800000001
"F81004",86205.6999999999
"A89009",86147.38
"C81017",86110.78
"Y00781",86087.76
"E82054",86038.75
"J84016",86035.4799999999
"H85095",86032.03
"G82650",85996.73
"M87016",85973.49
"F81613",85972.1400000001
"H81094",85959.03
"B82038",85920.48
"M92028",85912.49
"H81054",85910.41
"C81037",85869.41
"K81061",85867.23
"Y01291",85816.8
"E82107",85772.0599999999
"B82081",85739.76
"N81042",85724.1
"L81103",85719.4899999999
"F86664",85710.19
"N85014",85659.96
"K81002",85657.93
"B82034",85655.91
"P82018",85655.8700000001
"A89027",85605.15
"B83005",85590.2799999999
"N81014",85562.13
"K81059",85522.6200000001
"J83050",85512.99
"B83017",85488.9600000001
"A87019",85464.4
"E82096",85429.9700000001
"K81018",85419.2900000001
"H85035",85398.47
"D83041",85383.89
"J81042",85382.37
"C83613",85349.2999999999
"D83056",85321.7100000001
"L84017",85289.86
"C81080",85273.97
"K84042",85266.69
"C88020",85256.88
"G81105",85247.57
"E84031",85194.22
"E82088",85179.77
"B81024",85171.99
"A86024",85124.58
"B83020",85119.32
"J82092",85115.1599999999
"K81021",85102.35
"E81013",85084.6400000001
"Y01652",85046.8500000001
"F81005",84990.39
"H84608",84985.68
"A84038",84978.88
"J83045",84972.72
"L83025",84954.92
"G82682",84952.27
"C82091",84939.8200000001
"P81041",84927.88
"J81030",84927.43
"P91016",84923.2199999999
"L81049",84918.7999999999
"C83039",84897.9
"L81062",84891.82
"G82681",84881.99
"L83003",84879.75
"F81051",84870.0699999999
"H84002",84815.76
"N85023",84812.1099999999
"E82059",84785.0999999999
"A89023",84751.4899999999
"M82050",84716.42
"L81124",84683.38
"B81099",84681.7400000001
"G82780",84662.63
"L83044",84657.17
"G83031",84652.82
"E82007",84632.52
"F84013",84589.81
"N81043",84587.5599999999
"M85037",84580.04
"B81044",84569.47
"M82034",84559.9
"P81730",84554.1099999999
"J82019",84549.11
"A86022",84544.6500000001
"D81024",84541.9900000002
"Y01132",84529.1800000001
"E85008",84510.8000000001
"B82014",84503.1099999999
"F81061",84473.09
"M86034",84451.71
"P85028",84448.62
"C83029",84437.53
"K84059",84390.95
"M82060",84354.89
"L82019",84348.2099999999
"P87025",84325.0600000001
"C88043",84310.9
"G81053",84301.56
"D82021",84298.24
"P84037",84289.74
"L84005",84233.56
"C82103",84213.32
"J81070",84200.7000000001
"F81034",84185.1100000001
"M84029",84172.48
"H85027",84137.2899999999
"N82036",84131.83
"F86650",84115.3399999999
"L85059",84108.33
"L85054",84101.27
"L82611",84025.01
"H83044",83997.5100000001
"L82026",83918.95
"A89028",83915.0999999999
"P84645",83913.4799999999
"C86023",83877.23
"P83608",83874.88
"J82190",83872.4399999999
"L82002",83841.47
"M83065",83824.4400000001
"M84024",83797.8700000001
"F86074",83777.09
"G82002",83766.25
"G85035",83760.76
"C81052",83750.84
"J82093",83746.03
"C84116",83732.3199999999
"B86025",83727.55
"P91026",83699.5499999999
"K81102",83695.52
"F85033",83660.3799999999
"C81031",83647.99
"B85022",83627.06
"L85025",83609.86
"B86004",83589.65
"J82156",83580.23
"J83032",83571.2
"E82014",83552.2900000001
"A87027",83538.32
"A86038",83537.84
"P81066",83537.52
"F84018",83519.64
"C87022",83491.7
"Y02117",83461.8199999999
"E85028",83433.49
"H85693",83415.69
"B82056",83413.17
"P84032",83410.96
"M83037",83372.33
"J81056",83370.95
"H81082",83335.71
"H82092",83318.2699999999
"B83045",83316.43
"L81131",83311.5
"P92007",83290.0200000001
"L81059",83288.92
"Y02627",83244.94
"L81064",83229.6600000001
"B87042",83221.9900000001
"P88625",83162.3599999999
"M81072",83159.85
"C88048",83156.46
"J82218",83143.11
"F86008",83068.51
"F81053",83057.15
"H85018",83036.51
"H85008",83019.3899999998
"C87616",82917.45
"N82073",82885.3899999999
"D83049",82876.1
"B83067",82874.1600000001
"B81675",82872.5199999999
"M85006",82860.85
"E83008",82860.16
"F86018",82844.6199999999
"B83041",82838.46
"K83620",82826.15
"B86107",82824.01
"P84673",82823.19
"B85646",82814.5500000001
"M82015",82798.3700000002
"C88030",82723.2999999999
"L83084",82685.0300000001
"J82178",82637.2
"C84086",82623.83
"N81036",82588.2199999999
"P87035",82551.98
"G81049",82528.84
"F83032",82517.94
"G85083",82453.2
"M88001",82451.11
"J83020",82446.02
"C85009",82444.8299999999
"G81061",82443.1
"B86096",82423.1599999999
"J82142",82362.7600000001
"H82096",82342.08
"J81087",82296.91
"L82620",82257.8200000001
"P84630",82237.33
"P91035",82228.9099999999
"C87620",82228.33
"B86055",82219.0200000001
"F84714",82210.0900000001
"N81009",82205.08
"C84018",82190.15
"L85019",82180.2399999999
"J82033",82180.0400000001
"G82630",82104.01
"P81064",82077.75
"M92007",82034.19
"F84083",82024.53
"L81085",82021.54
"B81020",82007.47
"H81084",82003.83
"A88016",81949.4200000001
"L85029",81943.3600000002
"L84013",81936.02
"E82078",81894.38
"J81004",81878.17
"M89023",81871.64
"L84019",81809.9500000001
"B82011",81791.75
"K84011",81778.5899999999
"J82087",81778.03
"D81063",81749.34
"M84045",81748.6599999999
"D82076",81738.01
"C84039",81664.6799999999
"N82099",81656.5900000001
"C84113",81650.13
"P81208",81628.41
"P81215",81604.0299999999
"N81050",81595.84
"D82070",81592.6900000001
"K82069",81554.0700000001
"N85018",81551.5500000001
"K82017",81540.15
"K81068",81529.7399999999
"P84046",81524.98
"D81015",81523.73
"G82091",81500.7
"B82036",81499.14
"C82030",81471.51
"F84008",81454.03
"C88078",81437.1800000001
"M85143",81413.5
"L82070",81403.53
"L81032",81331.54
"M84032",81325.27
"L84616",81318.87
"E82013",81304.79
"N82641",81303.99
"P88018",81295.0000000001
"P81182",81287.39
"B82016",81275.7999999999
"B85001",81268.84
"J81065",81246.13
"L83046",81228.69
"G84032",81217.2799999999
"C82028",81208.2099999999
"F82051",81203.36
"L85011",81203.35
"N85040",81202.8400000001
"L84004",81202.19
"B81017",81189.5
"H82064",81184.42
"J82030",81179.1
"D81045",81143.44
"C81097",81135.65
"C87015",81125.6000000001
"D83062",81089.16
"D82105",81066.2800000001
"A86009",81061.03
"P89013",81060.36
"P82011",81034.6
"D81009",81024.46
"F86078",81001.51
"J82071",80980.37
"C88028",80934.8
"B81023",80929.17
"M87014",80925.13
"E86028",80892.99
"F81031",80890.54
"J83047",80874.35
"L84042",80800.44
"K81034",80784.0900000001
"J81051",80749.91
"M85016",80704.04
"D83006",80691.84
"F86058",80676.4299999999
"J82215",80574.28
"B83007",80562.97
"L81069",80557.85
"B81063",80500.7100000001
"J83043",80498.1499999999
"F84012",80467.5899999999
"C84131",80465.25
"Y00774",80456.7700000001
"G85011",80454.07
"L83036",80452.1600000001
"E83009",80424.3300000001
"N84007",80401.24
"M83682",80372.3800000001
"E81047",80348.9399999999
"M82047",80333.8700000001
"P81684",80330.5099999998
"B86011",80325.5
"L81098",80301.89
"A82077",80295
"F81104",80251.19
"M87028",80244.68
"F86644",80233.69
"N83603",80233.61
"K83018",80232.03
"F86686",80225.4099999999
"D83028",80181.44
"G81073",80175.1900000001
"L82013",80110.28
"D83020",80106.73
"L83065",80104.5600000001
"A88012",80074.92
"C82027",80055.36
"K82055",80051.9799999999
"B85009",80023.3
"G82631",80020.4599999999
"G82024",80018.19
"L81099",79997.4499999999
"M81061",79989.3700000001
"H81053",79954.24
"C84025",79935.19
"P84052",79915.7
"K81086",79883.7399999999
"M87010",79881.6
"J81057",79831.4999999999
"A86015",79818.69
"K84007",79802.89
"P81152",79801.0800000001
"A84011",79792.5799999999
"B85026",79777.2999999999
"L81084",79770.04
"M83078",79689.7599999999
"E82020",79679.4399999999
"L83118",79676.44
"E84022",79646.0599999999
"K81077",79581.4499999999
"D81022",79531.3700000001
"C83067",79502.06
"G81014",79494.01
"E82058",79492.1899999999
"J82181",79478.5399999999
"H85114",79452.4199999999
"N85038",79439.88
"N85002",79439.7499999999
"A83006",79417.38
"C81027",79375.3300000001
"F84054",79344.26
"B86077",79290.53
"H81644",79287.71
"J84007",79284.55
"L83105",79283.1500000001
"P88006",79278.02
"E83012",79250.2100000002
"H85033",79249.79
"P89007",79223.86
"G83058",79223.14
"C83617",79214.9900000001
"L83113",79193.31
"L83102",79193
"N81093",79186.3
"K84035",79166.6299999999
"A83070",79160.59
"L82622",79145.5399999999
"P92002",79142.9099999999
"M85084",79142.2700000001
"P89005",79120.41
"K83622",79116.9
"K82076",79101.07
"C88011",79096.18
"K82030",79065.85
"G82679",79059.61
"Y02378",79038.02
"C84143",79033.4
"C82095",79025.38
"M83121",78994.5700000001
"A82024",78987.0300000001
"B82047",78956.9
"K84039",78897.62
"B85031",78837.6500000001
"E83020",78831.7300000001
"E83030",78823.67
"J83022",78777.15
"C84087",78747.2399999999
"C81091",78692.35
"K84020",78687.88
"B86047",78681.55
"P82021",78646.41
"C82071",78636.85
"F81006",78634.62
"P84023",78599.94
"M85092",78587.87
"E81040",78575.4300000001
"G82729",78570.61
"P81061",78566.74
"C82643",78559.0800000001
"F81028",78549.72
"H81109",78537.41
"G81043",78506.91
"B83034",78505.87
"H84012",78491.09
"B82058",78448.9099999999
"F81147",78448.3499999999
"M85086",78440.1400000001
"H81005",78436.43
"L81075",78423.69
"K82001",78419.8400000001
"P91020",78414.84
"P91003",78407.2900000001
"N85031",78402.5499999999
"B85023",78383.82
"L83077",78383.3199999999
"N81065",78368.75
"L84059",78365.32
"B81682",78355.67
"C83057",78299.5400000002
"K83022",78297.9
"C85018",78294.91
"D83050",78275.2700000001
"E86019",78272.83
"C87014",78266.2
"H83025",78259.79
"P91008",78201.62
"A89024",78200.83
"A84033",78180.4500000001
"C82678",78130.3200000001
"H84027",78093.35
"L83071",78078.8200000001
"B85037",78053.3
"C84085",78052.2999999999
"A89042",78018.74
"N81013",78010.21
"G82204",77985.74
"A87011",77978.92
"A82052",77968.87
"K83031",77957.17
"H82006",77921
"M83625",77916.72
"E87681",77915.74
"F86083",77905.9999999999
"C84063",77900.86
"M87601",77860.31
"H83017",77853.01
"C82040",77842.18
"N84034",77841.93
"K82057",77823.97
"G81045",77744.44
"N83633",77740.14
"P85012",77733.22
"H81097",77726.41
"G82211",77706.2
"M84010",77698.2000000001
"K83009",77689.5899999999
"H82084",77669.3700000001
"A89035",77667.8899999999
"E81045",77637.34
"B83653",77630.3899999999
"B81617",77562.1200000001
"G82017",77540.69
"A87008",77537.04
"H83009",77518.38
"A86031",77512.09
"G81006",77507.74
"Y01051",77472.33
"F81137",77466.3400000001
"M91016",77439.12
"M85046",77419.1
"E84015",77415.35
"F81078",77404.1900000001
"C81665",77403.83
"E85121",77403.2900000001
"F81206",77389.01
"B84002",77376.15
"J82073",77364.41
"G85089",77308.85
"D82081",77289.4099999999
"P83005",77250.83
"K83048",77244.2
"D83078",77216.5800000001
"H82005",77198.71
"A89006",77186.58
"H85009",77182.4000000001
"P88005",77177.5299999999
"F81131",77117.45
"H83007",77091.21
"D81003",77079.27
"M85043",77038.83
"P92015",77038.11
"F81130",76929.2200000001
"Y01812",76918.8600000001
"L81065",76911.7099999999
"H85111",76903.85
"A86040",76898.18
"M83681",76884.87
"B81101",76877.9999999999
"D82022",76870.85
"A86036",76839.45
"H82002",76813.51
"J82059",76812.62
"H81085",76798.85
"A83019",76798.2
"B81088",76794.9100000001
"F81173",76785.3400000001
"H85686",76783.67
"G81075",76765.29
"D82073",76760.63
"L85055",76715.57
"F82019",76704.65
"C83008",76686.3300000001
"J82075",76679.11
"N82019",76668.6
"G84011",76661.74
"F84097",76660.1399999999
"F85007",76649.6999999999
"P87637",76641.3
"F81086",76591.53
"L82038",76588.0600000001
"D82013",76580.81
"L83127",76564.31
"A82015",76529.6399999999
"L84057",76528.79
"G84028",76500.64
"L83024",76483.62
"F84014",76464.73
"E85054",76426.91
"H81034",76378.5199999999
"M83093",76377.77
"J83004",76364.65
"E82048",76364.42
"J81082",76347.62
"M85634",76344.4099999999
"P84045",76341.79
"K83049",76265.0500000001
"D81055",76222.01
"N81121",76219.5
"B83012",76208.38
"M88010",76200.66
"E81048",76163.56
"P92042",76151.66
"Y00090",76138.87
"L84052",76137.0000000001
"E81016",76121.0599999999
"M84002",76059.58
"G85016",76038.09
"P89029",75990.1
"G82186",75957.1000000001
"B82071",75890.11
"P89026",75884.5400000001
"G82200",75857.74
"A81012",75835.57
"B82072",75804.7
"M85177",75790.56
"D81082",75748.63
"A83042",75740.46
"L81043",75724.45
"C88073",75720.32
"B81018",75715.38
"F85687",75701.4500000001
"K84025",75699.3100000001
"A87017",75666.3000000001
"M85117",75663.59
"E83011",75662.7500000001
"E81021",75628.2500000001
"C82096",75627.44
"E83653",75612.9700000001
"G84024",75607.95
"F81101",75606.8900000001
"C84064",75593.22
"M81083",75590.52
"G84020",75585.1900000001
"B82078",75554.1999999998
"F81070",75520.8700000001
"C88052",75503.3099999999
"H81071",75494.16
"C84095",75472.63
"B82628",75464.5500000001
"E82028",75402.9
"L85052",75393.0999999999
"P86005",75371.2599999999
"M88008",75329.7599999999
"K84032",75301.4599999999
"C86039",75295.6100000001
"E85057",75283.61
"G82162",75276.1700000001
"H81045",75274.2699999999
"C84028",75265.7
"H83020",75244.83
"A87612",75216.81
"L85038",75203.66
"M83097",75192.26
"L81116",75192.16
"F85063",75192.0699999999
"C81094",75185.51
"L81600",75169.61
"L81057",75077.97
"K81023",75069.72
"K81103",75055.1899999999
"C82022",75043.4500000001
"A87006",75041.5
"D81027",75008.25
"P88023",74988.6899999999
"P82013",74986.73
"G82110",74965.41
"G83009",74938.39
"M83738",74929.45
"G81012",74905.0200000001
"C81019",74902.0199999999
"P84040",74893.05
"N81113",74879.73
"H82091",74874.16
"L82068",74862.04
"L85048",74831.48
"N82054",74828.89
"B87040",74812.12
"C88042",74808.37
"L84045",74798.9400000001
"F83060",74795.7
"L84039",74765.1399999999
"B87025",74749.63
"H81048",74686.91
"N82049",74619.03
"K83017",74584.09
"N81094",74579.66
"C82016",74560.35
"L81050",74546.8
"H85003",74537.4700000001
"P84051",74531.47
"B81113",74506.39
"C88054",74496.01
"P84016",74494.35
"C85001",74482.6400000001
"A84035",74477.22
"F83063",74465.25
"C87006",74461.27
"D83043",74440.31
"G85692",74424.2399999999
"P84050",74407.35
"Y02332",74392.6
"M83601",74375.9100000001
"H85026",74371.95
"C81070",74360.3799999999
"M85078",74354.69
"B83641",74321.78
"J82121",74291.08
"A83073",74288.16
"H85069",74284.51
"G85027",74281.24
"L83136",74242.02
"M81043",74204.0299999999
"B86019",74190.3
"P91629",74185.58
"K84075",74181.7000000001
"G81087",74157.23
"M81627",74113.6
"G82735",74087.2899999999
"P83605",74086.95
"N81095",74073.3699999999
"Y03135",74073.02
"D82096",74056.92
"L82066",74036.5799999999
"D82072",73970.64
"A87029",73927.4799999999
"P84669",73820.5000000001
"E81063",73760.0799999999
"C83030",73753.34
"L81119",73718.04
"Y03052",73713.6300000001
"P81169",73707.52
"G84035",73694.76
"D81062",73674.1
"N81028",73619.15
"E82017",73603.9499999999
"M86030",73563.7899999999
"P89021",73562.01
"F81169",73539.15
"J82147",73482.98
"C81011",73441.3700000001
"J81003",73435.6699999999
"E85033",73404.85
"K82615",73401.8399999999
"G81086",73369.14
"E84036",73362.3799999999
"K82028",73356.53
"M87021",73354.88
"P85026",73337.3
"C88051",73291.25
"A84025",73244.79
"E81043",73242.5799999999
"K81092",73216.1
"C84052",73215.72
"D81086",73187.18
"B86051",73174.98
"K84008",73147.9299999999
"P92605",73133.17
"M83024",73106.06
"P81004",73094.99
"F82012",73079.17
"E83044",73057.11
"L82021",73035.98
"M85062",73000.6200000001
"M84031",72981.69
"Y00185",72947.4
"B82057",72947.1599999999
